ExpressJet Airlines	12.715212629778481
United Airlines	12.693792716761887
Jetblue Airways	10.957955150996305
American Airlines	10.761310858152106
Southwest Airlines	9.717381583754776
Frontier Airlines	9.127992285539296
Virgin America	7.9111959894963
Envoy Air	7.414457447829006
Endeavor Air	7.239913554979892
SkyWest Airlines	6.4444567661846515
Delta Air Lines	5.440923811614886
Mesa Airlines	4.370214058229445
AirTran Airways	3.64262519476359
US Airways	2.797679120879121
Alaska Airlines	1.1300421189049086
Hawaiian Airlines	-0.06538065285760764
